start_time, end_time, is_question, is_pause, curr_sentence_length, speech_rate, is_edit_word, is_reparandum, is_interregnum, is_repair, pcm_RMSenergy_sma, pcm_fftMag_mfcc_sma[1], pcm_fftMag_mfcc_sma[2], pcm_fftMag_mfcc_sma[3], pcm_fftMag_mfcc_sma[4], pcm_fftMag_mfcc_sma[5], pcm_fftMag_mfcc_sma[6], pcm_fftMag_mfcc_sma[7], pcm_fftMag_mfcc_sma[8], pcm_fftMag_mfcc_sma[9], pcm_fftMag_mfcc_sma[10], pcm_fftMag_mfcc_sma[11], pcm_fftMag_mfcc_sma[12], pcm_zcr_sma, voiceProb_sma, F0_sma, pcm_RMSenergy_sma_de, pcm_fftMag_mfcc_sma_de[1], pcm_fftMag_mfcc_sma_de[2], pcm_fftMag_mfcc_sma_de[3], pcm_fftMag_mfcc_sma_de[4], pcm_fftMag_mfcc_sma_de[5], pcm_fftMag_mfcc_sma_de[6], pcm_fftMag_mfcc_sma_de[7], pcm_fftMag_mfcc_sma_de[8], pcm_fftMag_mfcc_sma_de[9], pcm_fftMag_mfcc_sma_de[10], pcm_fftMag_mfcc_sma_de[11], pcm_fftMag_mfcc_sma_de[12], pcm_zcr_sma_de, voiceProb_sma_de, F0_sma_de, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, UNK
4.474000000000000199e+01, 4.546999999999999886e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.369863013698636056e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.545095558333333383e-03, -1.769737638888889020e+00, -6.684415033333333866e+00, -2.959712366666667371e+00, -6.080184183333333436e+00, -6.964845472222221723e+00, -8.499059572222225967e+00, -1.356176572222221655e+00, -8.676741294444443753e+00, -6.170088944444445112e+00, -4.287037289999999778e+00, -1.026153293888888740e+01, -2.468002640555555960e+00, 1.665972283333333193e-01, 4.488258011111110335e-01, 7.109205555555554668e+01, -1.975507777777747474e-06, -6.194515555555556163e-02, 4.170967777777777330e-02, 1.168988622222222884e-01, 2.956684166666664892e-01, -1.225869277777778682e-01, -3.290866554444445424e-01, -3.313724111111111537e-01, 1.518703561111111044e-01, -6.664236999999999245e-02, -2.328704000000001162e-01, -2.842565944444445103e-01, -2.346772038888889078e-01, -2.612210688888888868e-02, 1.545728227777777401e-02, 3.090668277777778528e+00, 6.938888888888888884e-01, 5.638888888888889950e-01, 2.211111111111111194e-01, 5.488888888888888706e-01, 5.088888888888888351e-01, 0.000000000000000000e+00, 6.544444444444444953e-01, 7.722222222222222543e-01, 7.477777777777778745e-01, 1.465000000000000080e+00, 3.899999999999999578e-01, 1.188888888888888912e-01, 4.500000000000000527e-02, 5.555555555555555768e-03, 1.233888888888888813e+00, 0.000000000000000000e+00, 2.605555555555555958e-01, 7.777777777777777901e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 8.888888888888888395e-01, 1.111111111111111049e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.111111111111111605e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.111111111111111049e-01, 2.000000000000000000e+00
4.547999999999999687e+01, 4.656000000000000227e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.906976744186045569e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.227255147857142382e-03, -4.514788928571435989e-01, 4.879461710714285694e+00, -7.534681932142855310e+00, -7.533255285714284710e+00, -7.009310853571428801e+00, -9.685732885714285700e+00, -1.355575846428571651e+00, -4.585618621428572794e+00, -4.811504022142857551e+00, -4.900821405000001185e+00, -8.526952301071426987e+00, -8.610436535714287132e+00, 8.962053378571428752e-02, 7.240927689285714397e-01, 1.488368507142857027e+02, -4.297209939285696451e-06, -4.904252171428571949e-01, -9.014125714285706192e-02, -2.126160689285714889e-01, -1.227172500000006140e-02, 3.385557428571428495e-01, 4.082765081071428326e-01, 2.879241428571427397e-01, 2.575730153571428316e-01, 1.105747460714287672e-01, 6.720132499999999232e-02, 2.991982339285713666e-01, 1.565243857142856465e-01, -9.892857511785714195e-03, -1.196408839107143164e-02, -1.512146650000000703e+00, 4.917857142857143260e-01, 3.350000000000000200e-01, 6.357142857142857040e-02, 4.746428571428572551e-01, 7.150000000000001910e-01, 7.142857142857142851e-04, 8.557142857142858716e-01, 1.064285714285714279e+00, 7.482142857142858317e-01, 1.299642857142857322e+00, 4.960714285714285521e-01, 1.521428571428571630e-01, 3.035714285714286031e-02, 7.214285714285717521e-02, 9.482142857142855652e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.214285714285713969e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.071428571428571369e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.285714285714285476e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 7.500000000000000000e-01, 3.571428571428571230e-02, 0.000000000000000000e+00, 7.142857142857142461e-02, 4.642857142857143016e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
4.656000000000000227e+01, 5.174000000000000199e+01, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00, 2.906976744186045569e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.114547525384615630e-06, -1.780195284615384566e+00, -3.529040356153845814e-01, 1.578371453846154002e-02, 7.646515738461538980e-01, -6.978199815384615867e-01, -7.657758261538463174e-01, 1.727881976923077156e-01, 2.707132561538461157e-01, -3.021739989230769474e-01, -3.342420533076921885e-01, 3.390222300000000355e-01, 5.887237174615383983e-01, 9.122235576615388419e-01, 2.968737807692307246e-02, 0.000000000000000000e+00, 3.337182778230769462e-06, -4.614189153846155744e-02, -2.026250437615384481e-01, 1.414012930769230694e-02, -3.665193230769230731e-02, -1.105087861538461419e-01, -5.118624115384615841e-02, 1.522059743846153890e-01, -2.753288823076924241e-02, 1.442366415384615380e-02, 2.534947376923077367e-02, -7.041765461538460058e-02, 6.797152661538463647e-02, 1.147996630769233372e-03, 1.844142369230769444e-03, -3.578595384615384511e-01, 6.242307692307694778e-01, 4.317692307692306275e-01, 3.800000000000000600e-02, 5.871538461538461373e-01, 7.213846153846157350e-01, 1.273846153846153739e-01, 1.124384615384615538e+00, 1.106999999999999318e+00, 7.973076923076920508e-01, 1.254999999999999227e+00, 5.081538461538460671e-01, 1.500000000000000222e-01, 9.823076923076924649e-02, 8.199999999999998956e-02, 6.013846153846154063e-01, 0.000000000000000000e+00, 6.315384615384615763e-02, 7.461538461538461675e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 9.846153846153846700e-01, 2.307692307692307820e-02, 0.000000000000000000e+00, 8.846153846153845812e-01, 7.153846153846153966e-01, 8.461538461538462008e-02, 1.000000000000000000e+00, 9.846153846153846700e-01, 1.846153846153846256e-01, 0.000000000000000000e+00, 2.000000000000000111e-01, 1.230769230769230838e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.538461538461538547e-02, 2.000000000000000000e+00
5.174000000000000199e+01, 5.235999999999999943e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.906976744186045569e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.885521493750001066e-04, -1.826658400000000171e+01, -1.015186533125000068e+01, 3.591296093750000917e+00, -2.228042062500000142e+00, -1.057745887500000315e+01, -9.479438749999999914e+00, 5.054912937500006809e-01, -8.736795250000002344e-01, -2.146898462500000271e+00, -2.553360687500005888e-01, -2.306108200000000608e+00, 1.443920162500000215e+00, 9.955729250000000530e-02, 3.652993062499999555e-01, 0.000000000000000000e+00, -2.332245249999999572e-05, 7.949223500000001108e-01, 1.721315581250000060e+00, -4.058916256249999743e-01, -6.998439937500001706e-01, -1.848512999999999684e-01, -6.339663456250003160e-01, -2.262836931249999406e+00, -5.867381749999986407e-02, -2.282742874999999783e-01, -2.144314250000000088e-01, 9.717522831249998383e-01, -1.343717687500000368e-01, -8.741536781249999860e-03, 9.919904000000000222e-03, 3.039776250000000068e+00, 9.850000000000000977e-01, 8.406250000000000666e-01, 6.750000000000000444e-02, 1.211249999999999938e+00, 4.993750000000000133e-01, 1.874999999999999931e-03, 9.306250000000000355e-01, 1.194374999999999964e+00, 6.412499999999999867e-01, 1.291249999999999787e+00, 7.381250000000000311e-01, 1.075000000000000122e-01, 2.481250000000000400e-01, 1.874999999999999931e-03, 8.281249999999998890e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.625000000000000000e-01, 5.000000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 3.125000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
6.203999999999999915e+01, 6.228000000000000114e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.213780714285713450e-03, -4.762393285714286995e-01, -1.321420785714285628e+01, -9.902802714285714458e+00, -2.217234285714285846e+01, 3.884275285714285264e+00, -1.451906428571428442e+01, 1.147769357142857327e+00, -1.619099428571428589e+01, 3.582504571428572482e-01, -5.855483857142856685e+00, -1.828201142857142969e+01, -3.446814857142857402e+00, 1.042708299999999949e-01, 7.945419571428571359e-01, 1.810889285714285677e+02, 8.235184285714281546e-05, -2.288942857142904370e-03, 6.570637142857143065e-01, -7.247744994285714171e-01, 6.189627328571428722e-01, -8.450921014285713850e-01, -1.374340157142857066e+00, 2.134194285714285932e-01, -8.040885714285803468e-03, 2.000705428571428524e+00, -1.133318000000000658e-01, -1.165059942857142872e+00, -1.415757851428571579e+00, -7.200744628571428829e-02, 7.000291571428572668e-02, 2.768903242857142999e+01, 1.757142857142857117e-01, 8.042857142857141595e-01, 6.371428571428571219e-01, 1.428571428571428700e-02, 5.371428571428571441e-01, 2.057142857142857384e-01, 1.217142857142857082e+00, 1.167142857142857038e+00, 6.914285714285713924e-01, 1.801428571428571379e+00, 9.428571428571427826e-02, 2.714285714285714218e-02, 1.871428571428571386e-01, 3.857142857142857595e-02, 1.282857142857142696e+00, 1.999999999999999833e-01, 1.179999999999999938e+00, 7.142857142857143016e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 7.142857142857143016e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.142857142857143016e-01, 4.285714285714285476e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 7.142857142857143016e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.428571428571428492e-01, 7.142857142857143016e-01, 4.285714285714285476e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
6.228000000000000114e+01, 6.252000000000000313e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.562449571428570820e-03, -5.704501982857143716e+00, -1.237697000000000047e+00, -1.649205714285714208e+01, -1.155008428571428825e+00, -9.495484142857142373e+00, -1.902099428571428774e+01, 1.301911199999999935e+00, -9.943526857142858333e+00, 2.549906571428571134e+00, -9.559863000000001776e+00, -1.671342428571428584e+01, -4.427828342857142552e+00, 1.035267857142857240e-01, 5.846688714285714905e-01, 1.336523457142857012e+02, 1.748047571428570934e-04, -1.873014142857140352e-01, 4.782277857142857580e-01, -1.860657428571428795e+00, 2.479727285714285578e+00, -4.049774285714287103e-01, 1.132855428571429013e-01, -8.572161428571430097e-02, -3.406405428571427918e-01, -2.337505128571428781e+00, -7.012287799999999960e-01, -1.506855428571428346e-01, 5.537111057142856119e-01, 7.639879285714286893e-03, -2.385154285714285310e-02, -1.521351485714285801e+01, 1.257142857142857229e-01, 4.414285714285713924e-01, 2.428571428571428548e-01, 2.685714285714285721e-01, 6.085714285714285410e-01, 1.428571428571428570e-03, 1.498571428571428443e+00, 1.068571428571428505e+00, 8.942857142857143504e-01, 1.081428571428571406e+00, 1.057142857142857190e-01, 1.000000000000000021e-02, 0.000000000000000000e+00, 1.214285714285714413e-01, 8.599999999999999867e-01, 0.000000000000000000e+00, 1.442857142857142949e-01, 1.428571428571428492e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.857142857142856984e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.714285714285713969e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.285714285714285476e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.857142857142856984e-01, 4.285714285714285476e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.857142857142856984e-01, 3.000000000000000000e+00
6.252000000000000313e+01, 6.279999999999999716e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.053685499999999359e-03, 5.635655125000000432e+00, -9.357846125000000015e+00, -1.991236750000000200e+01, -2.392354399999999881e+00, -7.174836499999999617e+00, -1.566188999999999787e+01, 3.778694250000000476e+00, -1.872121499999999727e+01, -9.950275749999999420e+00, -6.331527249999999718e+00, -1.638144175000000047e+01, -5.448685012500000369e+00, 4.207031500000000396e-02, 7.846636000000000166e-01, 1.712952975000000038e+02, -9.705997500000001425e-05, 1.081248100000000045e+00, -9.674567875000000816e-01, 1.119585537499999894e+00, -1.664243849999999858e+00, -3.836379874999999440e-01, -2.724342875000000941e-01, 6.980410749999998998e-01, -7.392163604999999471e-01, 4.480433562500000244e-01, 6.060895000000000588e-01, 1.879045625000000941e-01, 2.554108875000000167e-01, -1.267578071250000105e-02, 2.571789374999999475e-02, 1.560014024999999904e+01, 1.000000000000000056e-01, 2.387500000000000178e-01, 7.499999999999999722e-03, 5.050000000000000044e-01, 2.875000000000000125e-02, 0.000000000000000000e+00, 1.135000000000000231e+00, 7.062500000000001554e-01, 7.862500000000000044e-01, 1.559999999999999831e+00, 1.375000000000000111e-01, 2.375000000000000028e-02, 0.000000000000000000e+00, 1.462499999999999911e-01, 6.425000000000000711e-01, 2.125000000000000153e-02, 0.000000000000000000e+00, 3.750000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.250000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 7.500000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.750000000000000000e-01, 6.250000000000000000e-01, 2.500000000000000000e-01, 6.250000000000000000e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
6.279999999999999716e+01, 6.307999999999999829e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.047209124999999484e-03, -3.793274750000000139e+00, -9.043839625000000382e+00, -9.392680000000000362e+00, 6.028935249999998192e-01, -1.365101950000000208e+01, -2.184028249999999716e+01, 9.721886500000000098e+00, -1.127412099999999917e+01, 7.227240809999999627e+00, -8.394986499999999907e+00, -1.658730750000000143e+01, 2.760963862500000143e+00, 8.207031624999999719e-02, 6.139279125000000059e-01, 1.569786275000000444e+02, 5.070451249999998611e-05, -2.894123691249999908e+00, 4.548679749999999800e-01, 5.633090250000001298e-01, 1.673255197500000069e+00, -7.724570000000009762e-02, -5.266987437499999203e-01, 1.207663112500000135e+00, 1.140438337499999788e+00, 2.336331300000000333e+00, -5.031941125000001236e-01, -1.471552048749999453e-01, 1.021515649999999997e+00, 2.058072853749999889e-02, -4.311073137499999569e-02, -1.953011675000000125e+01, 1.499999999999999944e-02, 5.000000000000000278e-02, 0.000000000000000000e+00, 7.099999999999999645e-01, 2.249999999999999917e-02, 0.000000000000000000e+00, 8.200000000000000622e-01, 7.862500000000000044e-01, 1.036250000000000115e+00, 2.273750000000000160e+00, 0.000000000000000000e+00, 1.499999999999999944e-02, 0.000000000000000000e+00, 1.825000000000000233e-01, 3.200000000000000067e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.750000000000000000e-01, 1.000000000000000000e+00, 8.750000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 3.750000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
6.307999999999999829e+01, 6.349000000000000199e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.900802545454544901e-03, -8.476547272727267268e-01, -3.999846545454545321e+00, -7.660568363636363287e+00, 2.753185390909091090e+00, -1.700965836363636541e+01, -2.035131454545454588e+01, 6.314977727272725438e+00, -6.311587872727272952e+00, -4.363945999999999437e+00, -1.256993490909090916e+01, -1.386382245454545448e+01, -3.907366563636363921e+00, 6.906250090909091255e-02, 7.177102636363635879e-01, 1.355904690909090959e+02, -2.786901159636363205e-04, 2.190481327272727263e+00, 4.173546636363639206e-01, -3.359444909090909537e-01, -4.040953377272728519e-01, 5.574037181818182196e-01, 4.883794800000000325e-01, -1.788004553636363791e+00, 7.090817545454547455e-01, -2.366749945454545756e+00, -6.727673727272726056e-01, 3.775261818181819273e-01, -1.143158345454545310e+00, -1.460984837272727432e-02, 2.427004690909090670e-02, 1.040395908181818108e+01, 1.172727272727272507e-01, 1.954545454545454364e-01, 0.000000000000000000e+00, 9.281818181818182190e-01, 6.090909090909091272e-02, 0.000000000000000000e+00, 7.227272727272727737e-01, 8.190909090909090917e-01, 1.181818181818181657e+00, 2.155454545454545734e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.727272727272727681e-02, 5.209090909090909882e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 9.090909090909091161e-02, 7.272727272727272929e-01, 1.000000000000000000e+00, 2.727272727272727071e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.727272727272727071e-01, 8.181818181818182323e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
6.349000000000000199e+01, 6.377000000000000313e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.000000000000000000e+00, 3.030303030303036493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.083802571428571612e-03, 1.049163957142857306e+01, -4.976073242857141921e+00, -1.505475714285714339e+01, -3.283419028571429088e+00, -8.078076428571428380e+00, -1.572627057142857154e+01, -1.438059942857142914e+01, -5.929779500000000425e+00, -1.301351571428571496e+01, -1.375010428571428633e+01, -7.125529142857142340e+00, -4.512424000000000213e+00, 2.191964428571428411e-02, 6.207371428571428762e-01, 1.827898500000000297e+02, -4.067370714285714373e-05, 2.144083285714285803e-01, 2.038218085714285976e+00, 1.989453857142857718e-01, -2.717015285714285522e+00, -1.476074857142857022e+00, 5.547331857142856482e-01, -1.076620744571428867e+00, -1.257599999999999607e+00, 2.730841571428572756e-01, 7.488077385714285716e-01, 2.568226357142857075e-01, 1.318151571428571034e-01, -2.589286814285714591e-04, 1.674809571428571148e-02, 1.641402091428571453e+01, 1.728571428571428481e-01, 1.642857142857142849e-01, 0.000000000000000000e+00, 1.668571428571428594e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.271428571428570242e-01, 7.542857142857143371e-01, 1.058571428571428719e+00, 2.594285714285713862e+00, 0.000000000000000000e+00, 5.714285714285714281e-03, 0.000000000000000000e+00, 7.142857142857143501e-03, 9.428571428571429214e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.857142857142856984e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
