start_time, end_time, is_question, is_pause, curr_sentence_length, speech_rate, is_edit_word, is_reparandum, is_interregnum, is_repair, pcm_RMSenergy_sma, pcm_fftMag_mfcc_sma[1], pcm_fftMag_mfcc_sma[2], pcm_fftMag_mfcc_sma[3], pcm_fftMag_mfcc_sma[4], pcm_fftMag_mfcc_sma[5], pcm_fftMag_mfcc_sma[6], pcm_fftMag_mfcc_sma[7], pcm_fftMag_mfcc_sma[8], pcm_fftMag_mfcc_sma[9], pcm_fftMag_mfcc_sma[10], pcm_fftMag_mfcc_sma[11], pcm_fftMag_mfcc_sma[12], pcm_zcr_sma, voiceProb_sma, F0_sma, pcm_RMSenergy_sma_de, pcm_fftMag_mfcc_sma_de[1], pcm_fftMag_mfcc_sma_de[2], pcm_fftMag_mfcc_sma_de[3], pcm_fftMag_mfcc_sma_de[4], pcm_fftMag_mfcc_sma_de[5], pcm_fftMag_mfcc_sma_de[6], pcm_fftMag_mfcc_sma_de[7], pcm_fftMag_mfcc_sma_de[8], pcm_fftMag_mfcc_sma_de[9], pcm_fftMag_mfcc_sma_de[10], pcm_fftMag_mfcc_sma_de[11], pcm_fftMag_mfcc_sma_de[12], pcm_zcr_sma_de, voiceProb_sma_de, F0_sma_de, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, 
9.439999999999999503e+00, 1.021000000000000085e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.113038329999999503e-04, -6.468343949999999509e+00, -9.006716039999998813e+00, 8.604701499999999337e-01, -7.238464375499999548e+00, 4.347116150000000623e+00, -6.426943650000000119e+00, -1.147227394999999994e+01, 4.076204144000000085e+00, 3.122128874999999582e+00, -6.651401149999998097e+00, -1.374413149150000457e+01, -4.615285499999999708e+00, 4.606250049999999902e-02, 3.422568039999999145e-01, 0.000000000000000000e+00, 6.329905899999999964e-05, 5.278247085000000727e-01, 9.216903000000008228e-02, 7.120593249999999930e-02, -1.007723220000000808e-01, -3.181237600000000887e-01, -3.307145155000000836e-01, 5.124800499999995068e-02, 4.425095650000000491e-01, -7.800322539999999805e-01, 1.704407849999999836e-01, 2.412281904999999393e-01, -4.308382930000000388e-01, -1.977604304999999642e-03, 1.614588779999999793e-02, 4.437141999999999697e+00, 2.429999999999999660e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.844999999999999751e-01, 4.384999999999998899e-01, 1.419999999999999929e+00, 2.255000000000000338e-01, 1.471499999999999808e+00, 7.749999999999999112e-01, 1.729999999999999871e-01, 5.494999999999999885e-01, 0.000000000000000000e+00, 1.151499999999999968e+00, 0.000000000000000000e+00, 1.063499999999999890e+00, 7.599999999999999811e-02, 3.079999999999999405e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 9.499999999999999556e-01, 1.000000000000000000e+00, 2.999999999999999889e-01, 5.500000000000000444e-01, 9.499999999999999556e-01, 5.500000000000000444e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 5.500000000000000444e-01, 5.000000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.022000000000000064e+01, 1.028999999999999915e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.370525999999999991e-03, 5.306203000000000003e+00, -9.916762500000000813e+00, -1.565231994999999987e+00, -1.796650999999999954e+01, -1.094368749999999890e+00, -1.622133999999999787e+01, -1.405721499999999935e+01, 6.332748000000000488e+00, -1.120615499999999898e+01, -6.489152500000000323e+00, -9.671955999999999776e+00, -1.872012499999999946e+01, 2.531250499999999903e-02, 8.154646999999999313e-01, 1.899367000000000019e+02, 7.318523499999999692e-04, 7.795055500000001025e-01, -1.871764650000000141e-01, -9.254034499999999053e-01, -2.863626500000000075e+00, 1.390967999999999982e+00, 1.371735499999999774e-01, -1.810539499999999968e+00, -3.409464499999999898e+00, 1.128572249999999944e+00, -4.376592999999999734e-01, -1.300933300000000070e+00, 6.607349999999999612e-01, -2.671874500000000034e-03, 1.111214550000000079e-01, 8.769658499999999890e+01, 4.899999999999999911e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.250000000000000000e-01, 1.849999999999999978e-01, 1.049999999999999822e+00, 1.049999999999999961e-01, 1.090000000000000080e+00, 4.400000000000000577e-01, 2.399999999999999911e-01, 4.349999999999999978e-01, 0.000000000000000000e+00, 1.469999999999999973e+00, 0.000000000000000000e+00, 1.499999999999999944e-01, 0.000000000000000000e+00, 3.649999999999999911e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.000000000000000000e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.028999999999999915e+01, 1.048000000000000043e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.170327799999999988e-03, -2.287815460000000023e+00, -1.398328000000000237e+01, 8.245135799999999904e+00, -1.758362199999999831e+01, -4.085577159999999708e+00, -1.921083800000000252e+01, -5.592587319999999806e+00, 1.060567000000000037e+00, -5.854190400000000238e+00, -1.219168019999999864e+01, -1.078410760000000046e+01, -9.427600399999999325e+00, 2.633333199999999749e-02, 6.655597199999998548e-01, 2.195841039999999680e+02, 2.060492079999999874e-04, -1.812772059999999907e+00, -3.646989000000000480e-01, 3.601181400000000199e+00, 5.917356280000000135e-01, -1.598226840000000148e+00, -1.177217868000000056e+00, 3.938452000000000286e+00, -4.219395999999999564e-02, -1.907339599999999802e-01, -2.163313599999999948e+00, 2.419781000000000015e-01, 1.087781769999999870e+00, 7.395834420000000058e-04, -5.652480759999999049e-02, -4.269008799999999582e+01, 5.959999999999999742e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.079999999999999960e-01, 4.420000000000000040e-01, 1.486000000000000210e+00, 0.000000000000000000e+00, 1.048000000000000043e+00, 1.133999999999999897e+00, 5.280000000000000249e-01, 3.280000000000000138e-01, 0.000000000000000000e+00, 1.311999999999999833e+00, 0.000000000000000000e+00, 1.371999999999999886e+00, 1.400000000000000203e-02, 3.979999999999999649e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000444e-01, 1.000000000000000000e+00, 8.000000000000000444e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000222e-01, 2.000000000000000111e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.048000000000000043e+01, 1.067999999999999972e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.304980666666667101e-03, -8.445158333333332434e-01, -1.222139883333333366e+01, 1.240401533333333361e+01, -1.097156480000000123e+01, -1.308297050000000183e+01, -2.234656333333333578e+01, 1.787048166666666660e+00, 6.949005350000000192e+00, -4.655355933333333418e+00, -1.531839833333333445e+01, -6.341242333333332759e+00, -2.485161066666667029e+00, 3.378472166666666998e-02, 6.228559999999999652e-01, 7.543653000000000475e+01, -3.983908333333333138e-04, 1.465209783333333293e+00, 1.016367866666666897e+00, -2.682742150000000603e+00, 2.350796890000000250e+00, -1.923644999999997440e-01, -9.654515516666665187e-01, -2.221980049999999984e+00, 1.321012768333333476e+00, 1.343420900000000140e+00, 1.141175466666666694e+00, 1.386264183333333344e+00, 1.995522316666666685e+00, 1.024305666666666626e-03, 3.352720533333333058e-02, 1.062430833333333347e+01, 7.899999999999999245e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.833333333333333703e-01, 5.899999999999999689e-01, 1.665000000000000036e+00, 8.333333333333333218e-03, 1.463333333333333597e+00, 1.304999999999999938e+00, 6.033333333333333881e-01, 4.600000000000000200e-01, 0.000000000000000000e+00, 1.209999999999999964e+00, 0.000000000000000000e+00, 1.365000000000000213e+00, 0.000000000000000000e+00, 7.033333333333332549e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 8.333333333333333703e-01, 8.333333333333333703e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333333333333703e-01, 5.000000000000000000e-01, 1.666666666666666574e-01, 1.666666666666666574e-01, 0.000000000000000000e+00
1.067999999999999972e+01, 1.084999999999999964e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.087491599999999704e-03, 3.602392599999999501e+00, -1.053160179999999890e+01, -6.720538399999999690e+00, -3.026494759999999840e+00, -6.296202519999999581e+00, -2.721653600000000139e+01, -1.442959879999999906e+01, 1.272950800000000093e+01, 1.812544259999999907e+00, -7.759926200000000662e+00, -9.820092799999997624e-01, -2.567834599999999856e+00, 3.210416600000000342e-02, 7.728538400000000141e-01, 1.858793200000000070e+02, 5.570283763999999208e-04, -1.670074740000000169e-01, -1.245836719999999787e+00, -1.670443199999999795e+00, -1.172634309999999846e+00, 4.153373000000001314e-01, -6.208831999999995382e-02, -1.041833400000000021e+00, 1.025002799999999992e+00, 1.204276539999999951e+00, 4.931653999999999760e-01, -5.696118199999998799e-01, -2.133571780000000029e+00, -7.937502145058001344e-04, 1.369611060000000026e-02, 7.599576000000000775e+00, 1.149999999999999911e+00, 1.000000000000000056e-01, 0.000000000000000000e+00, 9.439999999999999503e-01, 2.760000000000000231e-01, 6.639999999999999236e-01, 0.000000000000000000e+00, 1.384000000000000119e+00, 7.820000000000000284e-01, 4.480000000000000648e-01, 5.560000000000000497e-01, 0.000000000000000000e+00, 1.404000000000000137e+00, 0.000000000000000000e+00, 4.160000000000000364e-01, 0.000000000000000000e+00, 1.843999999999999861e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000444e-01, 5.999999999999999778e-01, 2.000000000000000111e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 5.999999999999999778e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000222e-01, 4.000000000000000222e-01, 4.000000000000000222e-01, 8.000000000000000444e-01, 0.000000000000000000e+00
1.084999999999999964e+01, 1.108000000000000007e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.709600316666666790e-03, -2.201703549999999954e+00, -1.380206916666666750e+01, 9.799706999999999724e+00, -1.326189300000000060e+01, -1.267657499999999970e+01, -1.578864300000000220e+01, -7.582057166666667847e+00, 7.935026333333333959e+00, -3.076365000000001459e-01, -9.345665666666665317e+00, -7.572978666666666747e+00, -2.803699999999997305e-01, 5.928819833333334038e-02, 5.617229999999999723e-01, 1.273821449999999942e+02, -7.136728950000000493e-04, -1.973657333333333208e-01, 1.507972499999999938e-01, 2.114049716666666523e+00, 1.060953849999999976e+00, -2.272068233333333076e-01, 2.040219233333333104e+00, -5.965639666666666674e-01, -1.598982200000000020e+00, -1.012397400000000225e+00, 3.906764999999999266e-01, 2.613533000000000106e-01, 9.295550500000001604e-01, 6.046875999999999640e-03, -3.939170483333333944e-02, -2.171470633333333566e+01, 6.549999999999999156e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.216666666666666119e-01, 7.166666666666667851e-01, 1.926666666666666750e+00, 1.383333333333333359e-01, 1.364999999999999991e+00, 1.171666666666666634e+00, 5.283333333333333215e-01, 4.183333333333332793e-01, 0.000000000000000000e+00, 1.195000000000000062e+00, 0.000000000000000000e+00, 7.883333333333334414e-01, 0.000000000000000000e+00, 6.716666666666667451e-01, 8.333333333333333703e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.666666666666666574e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.108000000000000007e+01, 1.132000000000000028e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.814354999999999721e-03, 2.928825314285714576e+00, -1.462035999999999980e+01, 9.743031571428572235e+00, -4.606462242857142897e+00, -1.528879285714285707e+01, -1.907407500000000056e+01, -1.912471285714285685e+01, 1.112798899999999946e+01, 7.605533428571428223e-01, -6.155074714285714954e+00, -2.493612148571428655e+00, -3.751174857142856922e+00, 4.126488428571428030e-02, 7.062763571428571918e-01, 1.221195442857142837e+02, 5.767382714285713844e-04, 6.629967142857141893e-02, 5.070957428571428727e-01, 4.243428571428152453e-04, -9.198287000000000546e-01, -4.440018142857142247e-01, -2.020045985714285841e+00, -6.385389571428569111e-01, 1.450100685714285742e+00, 1.154781771428571302e+00, -3.779410528571428562e-01, 5.171201428571427228e-02, -3.328877285714284540e-01, -7.101191042857142068e-03, 4.194241428571430369e-02, 1.605961488571428575e+01, 4.085714285714286409e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.857142857142857206e-01, 7.171428571428571930e-01, 2.108571428571428541e+00, 2.485714285714285821e-01, 1.459999999999999742e+00, 1.342857142857142971e+00, 7.085714285714284077e-01, 3.142857142857142239e-01, 0.000000000000000000e+00, 9.628571428571428559e-01, 0.000000000000000000e+00, 5.785714285714286254e-01, 1.428571428571428700e-02, 5.000000000000000000e-01, 5.714285714285713969e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.857142857142856984e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.571428571428570953e-01, 4.285714285714285476e-01, 1.428571428571428492e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.132000000000000028e+01, 1.188000000000000078e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.000000000000000000e+00, 3.278688524590162245e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.495797245999999570e-03, -1.555066672000000061e+01, 6.417276999999999454e+00, 5.753628013333335289e+00, -2.725824726666666198e+00, -2.761076600000000880e+00, -4.930589466666666532e+00, -2.497363873333333206e+00, 3.862294646666667663e+00, 6.104709679999999139e+00, -8.599913133333332738e+00, -3.035800379999994969e-01, -7.996337133333333291e-01, 1.367291646666667082e-01, 3.414939600000000408e-01, 5.697393933333333393e+01, -2.426110806666666772e-04, 1.254370266666664790e-01, 1.086664354666667220e+00, -9.364902160000000420e-01, 8.262509966666665706e-01, 5.612906800000000418e-01, 7.098602280000001485e-01, 2.616287533333335746e-01, -1.309778668666666368e+00, -2.676930733333343290e-02, 3.163738019999999818e-01, -1.860422866666666397e-01, -1.055683079999999996e-01, 1.479157333333337373e-04, -2.374271646666665028e-02, -1.053304933999999982e+01, 2.366666666666666918e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.153333333333333210e-01, 1.116666666666666696e+00, 2.294666666666666632e+00, 1.666666666666666574e-01, 1.564666666666666650e+00, 2.024000000000000021e+00, 7.913333333333333330e-01, 3.033333333333333992e-01, 0.000000000000000000e+00, 7.306666666666665755e-01, 0.000000000000000000e+00, 1.434666666666666535e+00, 0.000000000000000000e+00, 6.466666666666667784e-02, 0.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 8.666666666666666963e-01, 1.000000000000000000e+00, 6.666666666666666297e-01, 5.333333333333333259e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.333333333333333315e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.189000000000000057e+01, 1.217999999999999972e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.000000000000000000e+00, 2.898550724637680709e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.479010014285713933e-03, -5.593988771428572093e+00, 3.858358571428571526e+00, -1.710585171428571361e+00, -7.637173428571428779e+00, -5.569783400000001272e+00, -2.230634142857143232e+01, -1.275114400000000003e+01, 1.930825728571428312e+00, 1.917676400000000170e+00, -9.795090000000000074e+00, -5.089135042857143354e+00, -8.842346428571428163e+00, 8.971726571428570440e-02, 5.171602142857142370e-01, 6.173847857142857265e+01, 4.930363714285714667e-04, -1.160248714285714300e+00, 4.089392000000001137e-01, -4.848659300000000560e-01, -1.414104862714285815e+00, 1.492734171428571566e+00, -1.815468357142857370e+00, 1.370345142857142817e-01, 1.760462714285712937e-01, -9.921425442857142452e-01, -6.697044428571430341e-01, 3.286778857142858001e-02, -1.429867942857142804e+00, 8.427082571428570062e-03, 4.276917857142857604e-02, 1.373853571428571740e+01, 3.642857142857142683e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.285714285714286031e-02, 9.314285714285714946e-01, 2.488571428571428878e+00, 3.114285714285714435e-01, 1.075714285714285401e+00, 1.660000000000000142e+00, 4.757142857142857006e-01, 2.371428571428571275e-01, 0.000000000000000000e+00, 7.457142857142857739e-01, 0.000000000000000000e+00, 1.285714285714285809e+00, 0.000000000000000000e+00, 1.000000000000000021e-02, 0.000000000000000000e+00, 1.428571428571428492e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 5.714285714285713969e-01, 1.000000000000000000e+00, 8.571428571428570953e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.857142857142856984e-01, 2.857142857142856984e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.217999999999999972e+01, 1.231000000000000050e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.000000000000000000e+00, 2.898550724637680709e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.553520666666666866e-03, -1.028030266666666748e+00, 8.391833333333332590e+00, -6.732170666666667636e+00, -8.548716000000000648e+00, -5.647625999999998925e-01, -2.282340999999999553e+01, -1.421892666666666649e+01, -7.539977666666668021e+00, -5.926902000000001003e+00, -8.640204333333331377e+00, -8.919896333333333871e+00, -1.372914999999999885e+01, 3.427083333333333370e-02, 7.935357333333333818e-01, 1.862667333333333488e+02, -1.311556333333333555e-04, 7.777300000000009206e-02, 1.425486766666666627e+00, 2.994209333333333056e-01, 1.311554833333333336e+00, -3.242757333333333492e+00, -1.801851599999999831e-01, 8.927070000000000283e-01, -7.756520000000000081e-01, 1.682649500000000131e+00, -1.768169933333333388e+00, -6.309293333333328146e-02, 8.933354333333333175e-01, -1.693055600000000285e-02, -2.929854999999999612e-02, 1.578870666666666978e+01, 3.533333333333333326e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.566666666666667207e-01, 1.433333333333333570e+00, 3.233333333333333615e-01, 6.600000000000000311e-01, 1.030000000000000027e+00, 4.066666666666666763e-01, 5.466666666666667451e-01, 0.000000000000000000e+00, 8.233333333333333615e-01, 0.000000000000000000e+00, 2.733333333333333726e-01, 0.000000000000000000e+00, 2.966666666666666896e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 3.333333333333333148e-01, 1.000000000000000000e+00, 6.666666666666666297e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 6.666666666666666297e-01, 3.333333333333333148e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
