start_time, end_time, is_question, is_pause, curr_sentence_length, speech_rate, is_edit_word, is_reparandum, is_interregnum, is_repair, pcm_RMSenergy_sma, pcm_fftMag_mfcc_sma[1], pcm_fftMag_mfcc_sma[2], pcm_fftMag_mfcc_sma[3], pcm_fftMag_mfcc_sma[4], pcm_fftMag_mfcc_sma[5], pcm_fftMag_mfcc_sma[6], pcm_fftMag_mfcc_sma[7], pcm_fftMag_mfcc_sma[8], pcm_fftMag_mfcc_sma[9], pcm_fftMag_mfcc_sma[10], pcm_fftMag_mfcc_sma[11], pcm_fftMag_mfcc_sma[12], pcm_zcr_sma, voiceProb_sma, F0_sma, pcm_RMSenergy_sma_de, pcm_fftMag_mfcc_sma_de[1], pcm_fftMag_mfcc_sma_de[2], pcm_fftMag_mfcc_sma_de[3], pcm_fftMag_mfcc_sma_de[4], pcm_fftMag_mfcc_sma_de[5], pcm_fftMag_mfcc_sma_de[6], pcm_fftMag_mfcc_sma_de[7], pcm_fftMag_mfcc_sma_de[8], pcm_fftMag_mfcc_sma_de[9], pcm_fftMag_mfcc_sma_de[10], pcm_fftMag_mfcc_sma_de[11], pcm_fftMag_mfcc_sma_de[12], pcm_zcr_sma_de, voiceProb_sma_de, F0_sma_de, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, 
4.940000000000000391e+00, 5.160000000000000142e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.352941176470588758e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.105474166666666399e-04, -1.912061266666666315e+00, 5.565107166666666494e+00, 2.687430000000000430e+00, -3.066746999999999446e+00, -1.158185583333333568e+01, -1.295072633333333556e+01, -2.073832966666666611e+00, 2.405097449999999970e+00, -1.991872233333333186e+00, -1.255107546666666574e+00, -2.137778166666666646e+00, -4.769082000000000043e+00, 2.631944500000000034e-02, 4.131970833333333259e-01, 3.832316666666666549e+01, -3.034203466666666646e-04, -4.706422833333333000e-01, 8.505237500000001338e-01, -9.369430000000007752e-02, 2.542581999999999898e+00, 1.683877333333333226e+00, -7.842397666666666156e-01, -1.415794216666666827e+00, 5.622828333333333012e-02, 1.506059166666666449e-01, -7.121452833333332677e-01, -9.110155033333331431e-01, 1.955301383333333254e-01, 9.305554999999998559e-04, -5.316284333333332751e-02, -2.747926666666666407e+01, 1.148333333333333206e+00, 3.133333333333332971e-01, 1.006666666666666599e+00, 6.283333333333332993e-01, 3.666666666666665991e-02, 0.000000000000000000e+00, 1.383333333333333359e-01, 1.419999999999999929e+00, 0.000000000000000000e+00, 1.673333333333333561e+00, 2.049999999999999822e+00, 8.850000000000001199e-01, 1.561666666666666536e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.583333333333333537e-01, 4.183333333333333903e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.160000000000000142e+00, 5.790000000000000036e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00, 2.352941176470588758e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.483111562500000006e-04, -1.122061076875000118e+00, 1.136062456249999997e+01, 7.775239424999997873e+00, 1.359733124999999543e+00, -1.286398262500000200e+01, -8.378837349999999518e+00, -3.323932362499999460e+00, -3.341424937500000247e+00, -3.768185783124999855e+00, 3.317144968750000977e+00, -2.308713393749999732e+00, -5.572121687500001030e+00, 2.635416799999999726e-02, 5.226132687500000262e-01, 6.951004500000000519e+01, -1.060317056249999605e-05, -6.514673625000001467e-01, -1.252567187499998291e-01, -3.510237687499999093e-01, -3.880514656249999250e-01, 1.648475312500000123e-01, 9.670825380000001026e-01, 3.574370374999999989e-01, -2.396436362500000417e-01, 1.198648748749999993e-01, -6.252773750000044373e-03, -7.927540675000002701e-02, 1.517693687499999944e-01, 3.719400361874999894e-03, -1.055466874999999929e-02, 4.875000007009688829e-07, 1.159999999999999698e+00, 3.906250000000000000e-01, 9.762499999999999512e-01, 6.043749999999999956e-01, 8.062500000000000222e-02, 0.000000000000000000e+00, 6.562500000000000278e-02, 1.432500000000000107e+00, 0.000000000000000000e+00, 1.713750000000000107e+00, 2.014999999999999680e+00, 1.121250000000000080e+00, 1.466250000000000053e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.418749999999999789e-01, 3.974999999999999645e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.900000000000000355e+00, 6.309999999999999609e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.587940050000000066e-04, -1.488904969999999750e+01, 4.588545540000000145e+00, 1.169773330000000167e+00, -1.363979840000000010e+01, -7.133170699999999087e+00, -7.882959890000000414e+00, -5.008317599999999814e+00, 2.484760469999999888e+00, 3.732193860000000196e+00, -3.863908500000000079e-01, -7.619616899999999582e+00, -1.308290645999998225e-01, 1.539374929999999808e-01, 3.736819900000000194e-01, 0.000000000000000000e+00, 4.348694600000001134e-05, 7.013587199999999910e-01, 3.612007899999998273e-01, -6.380979040000001046e-01, -6.838779000000005936e-02, -3.727332999999999896e-01, -2.221142859999999608e+00, -1.782428600000000307e-01, 7.645913202000000908e-01, -1.517105599999999666e-01, 1.320941300000000040e-01, -8.787002000000007640e-02, 3.869035289999999683e-01, 2.312501000000001528e-03, 1.089409020000000131e-02, 0.000000000000000000e+00, 1.082000000000000073e+00, 3.719999999999999973e-01, 1.118999999999999995e+00, 4.750000000000000888e-01, 7.200000000000000844e-02, 0.000000000000000000e+00, 1.970000000000000084e-01, 1.558999999999999941e+00, 0.000000000000000000e+00, 1.790999999999999925e+00, 1.975000000000000089e+00, 1.032999999999999918e+00, 1.276000000000000245e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.159999999999999920e-01, 3.210000000000000075e-01, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.000000000000000222e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
6.320000000000000284e+00, 6.709999999999999964e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.257297100000000069e-04, -2.996974386000000212e+00, 3.559964789999999990e+00, -1.188766490000000120e+00, -1.660654249999999887e+00, -1.312560210000000005e+01, -1.357868099999999778e+01, -2.854553039999999875e+00, 4.904614689999999833e+00, -2.872427842999999648e+00, 6.523527900000001267e-01, 8.268429000000017404e-02, -2.684418070000000434e+00, 5.173958900000000943e-02, 3.442913699999999855e-01, 0.000000000000000000e+00, -3.416127979999999638e-05, 5.492769600000000363e-01, -2.817386600000000851e-01, -9.834131499999999582e-01, 7.876360699999999104e-01, 5.004204000000007924e-02, 7.274663990000000968e-01, 2.418100299999998981e-01, -3.141587699999999761e-01, -2.675068999999995548e-02, 5.610314200000000584e-01, -1.348387499999999795e-01, -3.339026500000000230e-01, -7.944790200000001121e-03, -3.718509000000000484e-03, 0.000000000000000000e+00, 1.071000000000000174e+00, 6.299999999999998657e-02, 1.492999999999999883e+00, 1.105999999999999872e+00, 4.909999999999999365e-01, 1.390000000000000124e-01, 3.739999999999999436e-01, 1.583999999999999853e+00, 0.000000000000000000e+00, 1.502000000000000002e+00, 2.088999999999999524e+00, 5.879999999999999671e-01, 1.449000000000000288e+00, 6.000000000000000125e-03, 0.000000000000000000e+00, 5.300000000000000544e-02, 2.200000000000000289e-01, 2.999999999999999889e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000000e-01, 0.000000000000000000e+00, 4.000000000000000222e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 8.000000000000000444e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
6.719999999999999751e+00, 7.160000000000000142e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.912194833333333501e-04, -3.244079833333334051e+00, 2.663669949999999620e+00, -4.753019916666667122e+00, -3.163042579166666091e+00, -9.568360499999998936e+00, -1.321627608333333548e+01, -7.346314416666667846e+00, 5.737662166666666508e+00, -1.123170833333333452e-01, 2.748344749999999781e+00, -5.590402250000000350e+00, -5.293505916666666700e+00, 6.976563166666667481e-02, 4.369151000000000562e-01, 2.402424083333333371e+01, 4.230460333333333281e-05, -1.171935099999999591e-01, 9.854739875000001481e-01, 1.064863883333333261e+00, -5.192077166666666521e-01, 4.604610733333331929e-01, -5.291310416666666905e-01, -7.811816000000000315e-01, -2.996819999999992754e-02, -3.884374999999939959e-03, -3.099736416666666883e-01, 1.535788333333333311e-01, -1.925148299999999979e-01, 4.635413666666666327e-04, 9.179752500000000828e-03, 9.291666670148875911e-07, 1.300833333333333508e+00, 1.908333333333333270e-01, 1.264166666666666883e+00, 1.796666666666666856e+00, 6.624999999999999778e-01, 1.666666666666666644e-02, 1.666666666666666574e-01, 1.713333333333333597e+00, 4.916666666666666408e-02, 1.550000000000000044e+00, 1.865833333333333011e+00, 5.258333333333332638e-01, 1.406666666666666510e+00, 2.166666666666666741e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.750000000000000014e-02, 2.500000000000000000e-01, 6.666666666666666297e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.666666666666666574e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333333333332871e-02, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.160000000000000142e+00, 7.349999999999999645e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.148928379999999819e-03, -1.480079560000000072e+01, 1.317839800000000139e+01, -2.167375920000000011e+00, -5.041527999999999565e+00, -2.020493999999999346e-01, -1.597474999999999667e+01, -6.676227520000000304e+00, 3.040766999999999776e-01, -3.712447448000000261e+00, 8.522532399999999120e-01, -6.865219400000000860e+00, -9.160322600000000426e-01, 1.480624919999999900e-01, 2.899145799999999773e-01, 0.000000000000000000e+00, 7.203515599999999732e-04, -3.543458959999999713e+00, 8.658983999999998737e-02, -1.715455133999999715e+00, 2.686339799999999389e-01, 9.834493800000000396e-01, -8.221244719999999395e-01, 2.720182400000000111e+00, -8.756680200000002134e-01, -1.642845799999999912e+00, 5.263098999999998862e-01, -9.979758799999999264e-01, 1.810297999999999963e+00, 3.724583327999999444e-02, -1.777700079999999794e-02, -1.283234200000000103e+00, 8.620000000000000995e-01, 5.200000000000000455e-02, 1.169999999999999929e+00, 1.365999999999999881e+00, 7.999999999999999334e-01, 0.000000000000000000e+00, 7.399999999999999634e-02, 1.667999999999999927e+00, 2.739999999999999658e-01, 1.481999999999999984e+00, 1.550000000000000044e+00, 6.199999999999999956e-01, 1.069999999999999840e+00, 4.399999999999999745e-02, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.600000000000000033e-02, 0.000000000000000000e+00, 5.999999999999999778e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000111e-01, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 5.999999999999999778e-01, 0.000000000000000000e+00, 2.000000000000000111e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.349999999999999645e+00, 7.679999999999999716e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.462420799999999922e-03, -8.796144777777776369e+00, 6.347376566666666164e+00, -7.201437211111110237e-01, -2.699191197777777607e+00, -1.094806523666666820e+01, -1.795488666666666688e+01, -6.464793333333332725e+00, 2.062205077777777618e+00, -7.917203611111109929e+00, -2.549260553333333235e+00, -2.927570866666666660e+00, -4.953887644444445293e+00, 1.026157533333333371e-01, 3.640014888888888911e-01, 0.000000000000000000e+00, -3.274629000000000255e-04, 2.630654668888888548e+00, -1.291960855555555510e+00, -3.724862111111110763e-01, 2.452384777777777136e-01, -1.004628833333333748e+00, -1.704182888888889358e-01, -1.233156144444444546e+00, 1.001632577777777477e+00, 1.584025950000000016e+00, -4.802205666666666817e-01, 5.059131888888890316e-01, -9.016936035111109415e-01, -2.213541788555556042e-02, 2.073797888888889024e-02, 0.000000000000000000e+00, 5.466666666666666341e-01, 9.555555555555556024e-02, 1.183333333333333348e+00, 1.081111111111111134e+00, 8.711111111111110583e-01, 0.000000000000000000e+00, 2.977777777777778634e-01, 1.831111111111110690e+00, 2.511111111111110628e-01, 1.125555555555555642e+00, 1.581111111111110912e+00, 5.255555555555555536e-01, 8.166666666666666519e-01, 1.111111111111111110e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.222222222222222099e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.333333333333333148e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.222222222222222099e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.690000000000000391e+00, 7.940000000000000391e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.636419499999999805e-03, -9.758583666666666545e+00, 6.841947083333334234e+00, -7.452371333333332792e+00, -4.720201000000000313e+00, -7.158689500000000372e+00, -1.763214166666666927e+01, -4.113839265000000189e+00, 2.808074949999999959e+00, 1.200757166666666542e+00, -2.321151216666666794e+00, -3.684241350000000192e+00, -2.362973933333333054e+00, 1.619444333333333319e-01, 3.452216000000000728e-01, 5.608131666666666071e+00, 1.766765149999999891e-04, -6.425250833333332467e-01, 5.003583683333333587e-01, 2.005816433333333482e+00, -1.057531566666666700e+00, -1.858902883333333200e+00, 1.183697533333333274e+00, 2.127363866666666770e+00, -3.721282166666667890e-01, -1.431322600000000334e+00, 7.231785666666665224e-02, 9.005086666666667350e-01, -1.959560499999999372e-01, 5.258680833333333714e-03, 1.867149666666666902e-02, 8.490941333333333674e+00, 4.883333333333333415e-01, 0.000000000000000000e+00, 1.264999999999999902e+00, 1.630000000000000115e+00, 8.933333333333332016e-01, 0.000000000000000000e+00, 1.716666666666666619e-01, 1.464999999999999858e+00, 7.166666666666667018e-02, 1.150000000000000133e+00, 1.886666666666666714e+00, 3.683333333333333459e-01, 1.618333333333333401e+00, 3.333333333333333547e-03, 0.000000000000000000e+00, 0.000000000000000000e+00, 5.000000000000000104e-03, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
7.940000000000000391e+00, 8.179999999999999716e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.168579499999999643e-03, 1.054172249999999922e+00, 9.122942333333333709e-01, 5.255723233333332800e+00, -8.290714499999999987e+00, -1.885504166666666848e+01, -1.236703333333333354e+01, -4.885479799999999706e+00, 7.816833833333332926e+00, -3.255359500000000850e+00, -1.125091383333333361e+00, 1.071163266666666614e+00, -7.903820500000001026e+00, 2.527777833333333390e-02, 6.965350833333333602e-01, 9.448471166666666932e+01, -1.731084416666666423e-04, 1.468908500000000172e+00, -1.079115000000093307e-03, -6.029898666666667628e-01, 9.473272833333332699e-01, 8.831545499999999826e-01, -4.159548333333333292e-01, -1.545274833333333264e+00, -1.292276683333333787e-01, 4.590506533333333361e-01, 4.128795033333332865e-01, -5.335560000000000302e-01, 1.651907000000000236e-01, -1.298611195833333613e-02, 3.411811333333333862e-03, 6.782017350000001166e+00, 4.450000000000000067e-01, 0.000000000000000000e+00, 1.304999999999999938e+00, 1.616666666666666918e+00, 9.533333333333332549e-01, 0.000000000000000000e+00, 3.166666666666666519e-01, 1.573333333333333472e+00, 9.166666666666667407e-02, 1.366666666666666474e+00, 1.811666666666666536e+00, 2.833333333333333259e-01, 1.326666666666666661e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.166666666666666435e-02, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 8.333333333333333703e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.666666666666666297e-01, 0.000000000000000000e+00, 1.666666666666666574e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
8.179999999999999716e+00, 8.320000000000000284e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+01, 3.636363636363635798e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.341074750000000081e-03, 3.271265050000000230e+00, 5.599413500000001154e-01, 1.705343999999999971e+00, -3.897145249999999894e+00, -2.049359250000000188e+01, -1.460080999999999918e+01, -3.454594474999999942e+00, 3.526924225000000135e+00, -3.960286250000000230e+00, 9.451388000000000567e-01, 4.839827500000000171e-01, -8.031643000000000754e+00, 2.085937499999999944e-02, 5.949136500000000716e-01, 8.155472749999999849e+01, 1.685958037499999946e-04, -8.335845500000000907e-01, -1.401417899999999994e+00, 2.262963524999999976e+00, -2.466788500000000051e-01, -2.622437749999999568e+00, 7.572745249999999206e-01, 1.236360750000000008e+00, -1.342205499999999940e+00, -1.425278624999999799e+00, 2.447713000000000250e-01, 1.219923599999999997e+00, -1.031523900000000049e+00, 1.598958749999999972e-03, 3.558382499999999948e-02, 2.519481250000000117e+00, 4.949999999999999956e-01, 0.000000000000000000e+00, 1.315000000000000169e+00, 1.540000000000000036e+00, 9.174999999999999822e-01, 0.000000000000000000e+00, 3.950000000000000178e-01, 1.610000000000000098e+00, 2.174999999999999989e-01, 1.129999999999999893e+00, 1.650000000000000133e+00, 1.224999999999999978e-01, 1.087499999999999911e+00, 0.000000000000000000e+00, 1.200000000000000094e-01, 0.000000000000000000e+00, 3.250000000000000111e-02, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 7.500000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
